,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,hours-per-week,native-country,class,net_capital,per-hour-income
0,7,77516,9,13,4,1,1,40,39,0,2174,1
1,6,83311,9,13,2,4,0,13,39,0,0,0
2,4,215646,11,9,0,6,1,40,39,0,0,0
3,4,234721,1,7,2,6,0,40,39,0,0,0
4,4,338409,9,13,2,10,5,40,5,0,0,0
5,4,284582,12,14,2,4,5,40,39,0,0,0
6,4,160187,6,5,3,8,1,16,23,0,0,0
7,6,209642,11,9,2,4,0,45,39,1,0,0
8,4,45781,12,14,4,10,1,50,39,1,14084,5
9,4,159449,9,13,2,4,0,40,39,1,5178,2
10,4,280464,15,10,2,4,0,80,39,1,0,0
11,7,141297,9,13,2,10,0,40,19,1,0,0
12,4,122272,9,13,4,1,3,30,39,0,0,0
13,4,205019,7,12,4,12,1,50,39,0,0,0
14,4,121772,8,11,2,3,0,40,0,1,0,0
15,4,245487,5,4,2,14,0,45,26,0,0,0
16,6,176756,11,9,4,5,3,35,39,0,0,0
17,4,186824,11,9,4,7,4,40,39,0,0,0
18,4,28887,1,7,2,12,0,50,39,0,0,0
19,6,292175,12,14,0,4,4,45,39,1,0,0
20,4,193524,10,16,2,10,0,60,39,1,0,0
21,4,302146,11,9,5,8,4,20,39,0,0,0
22,1,76845,6,5,2,5,0,40,39,0,0,0
23,4,117037,1,7,2,14,0,40,39,0,-2042,0
24,4,109015,11,9,0,13,4,40,39,0,0,0
25,2,216851,9,13,2,13,0,40,39,1,0,0
26,4,168294,11,9,4,3,3,40,39,0,0,0
27,0,180211,15,10,2,0,0,60,35,1,0,0
28,4,367260,11,9,0,4,1,80,39,0,0,0
29,4,193366,11,9,2,3,0,40,39,0,0,0
30,2,190709,7,12,4,11,1,52,39,0,0,0
31,4,266015,15,10,4,12,3,44,39,0,0,0
32,4,386940,9,13,0,4,3,40,39,0,-1408,0
33,1,59951,15,10,2,1,3,40,39,0,0,0
34,7,311512,15,10,2,8,0,15,39,0,0,0
35,4,242406,1,7,4,7,4,40,33,0,0,0
36,4,197200,15,10,4,7,3,40,39,0,0,0
37,4,544091,11,9,1,1,5,25,39,0,0,0
38,4,84154,15,10,2,12,0,38,0,1,0,0
39,6,265477,7,12,2,10,0,40,39,0,0,0
40,4,507875,6,5,2,7,0,43,39,0,0,0
41,6,88506,9,13,2,10,0,40,39,0,0,0
42,4,172987,9,13,2,13,0,50,39,0,0,0
43,4,94638,11,9,5,1,4,40,39,0,0,0
44,4,289980,11,9,4,6,1,35,39,0,0,0
45,1,337895,9,13,2,10,0,40,39,1,0,0
46,4,144361,11,9,2,7,0,38,39,0,0,0
47,4,128354,12,14,0,4,4,40,39,0,0,0
48,7,101603,8,11,2,3,0,40,39,0,0,0
49,4,271466,8,11,4,10,1,43,39,0,0,0
50,4,32275,15,10,2,4,5,40,39,0,0,0
51,4,226956,11,9,4,8,3,30,0,0,0,0
52,4,51835,14,15,2,10,5,60,16,1,-1902,0
53,1,251585,9,13,0,4,1,55,39,1,0,0
54,5,109832,11,9,0,4,1,60,39,0,0,0
55,4,237993,15,10,2,13,0,40,39,1,0,0
56,4,216666,4,3,2,7,0,40,26,0,0,0
57,4,56352,8,11,2,8,0,40,33,0,0,0
58,4,147372,11,9,2,1,0,48,39,0,0,0
59,4,188146,11,9,2,7,0,40,39,0,5013,2
60,4,59496,9,13,2,12,0,40,39,0,2407,1
61,0,293936,5,4,3,0,1,40,0,0,0,0
62,4,149640,11,9,2,14,0,40,39,0,0,0
63,4,116632,10,16,2,10,0,45,39,1,0,0
64,4,105598,15,10,0,13,1,58,39,0,0,0
65,4,155537,11,9,2,3,0,40,39,0,0,0
66,4,183175,15,10,0,1,1,40,39,0,0,0
67,4,169846,11,9,2,1,5,40,39,1,0,0
68,5,191681,15,10,2,4,0,50,39,1,0,0
69,0,200681,15,10,4,0,3,40,39,0,0,0
70,4,101509,15,10,4,10,3,32,39,0,0,0
71,4,309974,9,13,5,12,3,40,39,0,0,0
72,6,162298,9,13,2,12,0,70,39,1,0,0
73,4,211678,15,10,4,7,1,40,39,0,0,0
74,4,124744,15,10,2,10,2,20,39,0,0,0
75,4,213921,11,9,4,8,3,40,26,0,0,0
76,4,32214,7,12,2,1,0,40,39,0,0,0
77,0,212759,0,6,2,0,0,2,39,0,0,0
78,4,309634,1,7,4,8,3,22,39,0,0,0
79,2,125927,5,4,2,5,0,40,39,0,0,0
80,4,446839,11,9,4,12,1,30,39,0,0,0
81,4,276515,9,13,2,8,0,40,5,0,0,0
82,4,51618,11,9,2,8,5,40,39,0,0,0
83,4,159937,11,9,2,12,0,48,39,0,0,0
84,4,343591,11,9,0,3,1,40,39,1,14344,6
85,4,346253,11,9,0,12,3,35,39,0,0,0
86,2,268234,11,9,2,11,0,40,39,1,0,0
87,4,202051,12,14,2,10,0,50,39,0,0,0
88,4,54334,6,5,4,12,1,40,39,0,0,0
89,1,410867,10,16,4,10,1,50,39,1,0,0
90,4,249977,8,11,2,10,0,40,39,0,0,0
91,4,286730,15,10,0,3,4,40,39,0,0,0
92,4,212563,15,10,0,7,4,25,39,0,0,0
93,4,117747,11,9,2,12,5,35,0,0,-1573,0
94,2,226296,9,13,2,11,0,40,39,1,0,0
95,2,115585,15,10,4,6,1,50,39,0,0,0
96,6,191277,10,16,2,10,0,60,39,1,-1902,0
97,4,202683,15,10,2,12,0,48,39,1,0,0
