GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
312,106,3,4.0,3.5,8.79,1,1
304,101,2,2.0,2.5,7.66,0,0
304,103,5,5.0,4.0,8.64,0,1
328,116,4,5.0,3.5,9.6,1,1
323,104,3,4.0,4.0,8.44,1,1
302,102,3,3.5,5.0,8.33,0,1
308,110,3,3.5,3.0,8.0,1,0
317,106,3,3.5,3.0,7.89,1,1
324,111,3,2.5,2.0,8.8,1,1
323,108,5,4.0,4.0,8.74,1,1
339,114,5,4.0,4.5,9.76,1,1
327,113,4,4.5,5.0,9.14,0,1
313,102,3,3.5,4.0,8.9,1,1
308,106,3,3.5,2.5,8.21,1,1
326,112,3,3.5,3.0,9.1,1,1
315,104,3,4.0,2.5,8.1,0,1
316,101,2,2.5,2.0,8.32,1,1
298,99,1,1.5,3.0,7.46,0,0
328,116,5,4.5,5.0,9.08,1,1
321,112,5,5.0,5.0,9.06,1,1
340,120,5,4.5,4.5,9.91,1,1
306,105,2,3.0,2.5,8.26,0,1
327,109,3,3.5,4.0,8.77,1,1
312,106,3,3.0,5.0,8.57,0,1
322,109,5,4.5,3.5,8.8,0,1
315,101,3,3.5,4.5,9.13,0,1
317,103,3,2.5,3.0,8.54,1,1
319,106,3,4.0,3.0,8.0,1,1
317,103,2,2.5,2.0,8.15,0,1
306,106,2,2.0,2.5,8.14,0,1
314,103,2,2.0,3.0,8.21,0,1
311,99,1,2.5,3.0,8.43,1,1
315,106,3,4.5,3.5,8.42,0,1
324,113,4,4.5,4.0,8.79,0,1
317,100,2,3.0,2.5,8.57,0,1
314,109,4,3.5,4.0,8.77,1,1
324,110,3,3.5,4.0,8.87,1,1
315,100,1,2.0,2.5,7.95,0,0
308,102,2,2.0,3.5,7.98,1,0
327,118,4,5.0,5.0,9.67,1,1
327,103,3,4.0,4.0,8.3,1,1
320,101,2,2.5,3.0,8.62,0,1
312,104,3,3.5,4.0,8.09,0,1
298,101,4,2.5,4.5,7.69,1,0
308,110,4,3.5,3.0,8.6,0,1
309,111,2,2.5,4.0,8.03,0,1
316,109,3,3.5,3.0,8.76,0,1
318,107,3,3.0,3.5,8.27,1,1
306,103,3,3.5,3.0,8.21,0,1
331,112,5,4.0,5.0,9.8,1,1
332,116,5,5.0,5.0,9.28,1,1
304,100,2,3.5,3.0,8.22,0,1
322,110,5,4.5,4.0,8.97,0,1
339,119,5,4.5,4.0,9.7,0,1
329,114,5,4.5,5.0,9.19,1,1
301,104,2,3.5,3.5,7.89,1,1
321,109,3,3.0,3.0,8.54,1,1
297,96,2,2.5,2.0,7.43,0,0
334,119,5,4.5,5.0,9.54,1,1
331,115,5,4.0,3.5,9.44,1,1
311,104,3,4.5,4.5,8.43,0,1
322,115,5,4.0,4.5,9.36,1,1
329,111,4,4.5,4.0,9.01,1,1
327,113,4,4.5,4.5,9.11,1,1
302,99,3,2.5,3.0,7.45,0,0
298,105,3,3.5,4.0,8.54,0,1
316,102,3,2.0,3.0,7.4,0,1
319,103,3,2.5,4.0,8.76,1,1
325,112,4,3.5,3.5,8.92,0,0
296,99,2,3.0,3.5,7.28,0,0
301,106,4,2.5,3.0,8.47,0,0
325,111,3,3.0,3.5,8.7,0,0
305,96,4,3.0,4.5,8.26,0,0
338,115,5,4.5,5.0,9.23,1,1
310,106,4,4.5,4.5,9.04,1,1
311,99,2,2.5,3.0,7.98,0,1
301,99,2,3.0,2.0,8.22,0,1
311,105,2,3.0,2.0,8.12,1,1
334,119,5,5.0,4.5,9.7,1,1
319,108,2,2.5,3.0,8.76,0,1
334,117,5,4.0,4.5,9.07,1,1
320,112,4,3.0,4.5,8.86,1,1
321,107,2,2.0,1.5,8.44,0,1
318,106,3,2.0,3.0,8.65,0,1
312,107,2,2.5,3.5,8.27,0,1
323,108,3,3.5,3.0,8.6,0,0
331,115,5,4.5,3.5,9.36,1,1
298,100,3,2.5,4.0,7.95,1,0
306,110,2,3.5,4.0,8.45,0,1
307,105,4,3.0,3.0,7.94,0,1
321,109,4,4.0,4.0,9.13,1,1
324,110,4,4.5,4.0,9.15,1,1
326,111,5,4.5,4.0,9.23,1,1
301,107,3,3.5,3.5,8.34,1,1
312,103,3,5.0,4.0,8.45,0,1
300,105,1,1.0,2.0,7.8,0,0
298,97,2,2.0,3.0,7.21,0,0
313,102,3,2.5,2.5,8.68,0,1
295,99,2,2.5,3.0,7.65,0,0
316,99,2,2.5,3.0,9.0,0,1
