Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscar
308.76599999999996,91.2,0.40299999999999997,38062.86,173.5,9.24,9.36,9.26,9.21,6.96,399184,1,153.0,284.4,3,57,566,55000,1
27.0466,98.78,0.376,35851.97,171.9,8.925,9.235,8.915,9.225,7.76,442884,1,138.84,222.736,4,40,674,34200,0
323.54400000000004,91.2,0.26,34174.36,173.5,8.995,9.07,9.015,9.095,6.96,321678,0,197.28,221.312,4,60,674,16400,0
23.089000000000002,65.26,0.547,34135.475,102.7,6.01,6.115,5.965,6.28,7.06,480067,0,157.39149797570857,283.728,4,22,438,46600,1
251.558,91.2,0.3,27974.98,170.5,9.01,9.125,9.035,9.29,6.96,317358,0,109.88,281.552,4,51,686,19400,1
22.6116,75.02,0.45299999999999996,32618.96,146.6,8.6,8.865,8.69,8.89,7.44,410730,1,160.16,283.264,1,40,566,40800,1
21.6374,60.78,0.555,43440.1,110.4,8.23,8.29,8.2,8.285,7.4,544945,1,217.52,207.00799999999998,2,25,512,87600,1
44.1484,94.16,0.395,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,0,158.96,222.78400000000002,3,28,606,34800,0
214.4836,91.2,0.26,35585.33,170.7,8.835,9.015,8.92,9.095,6.96,373307,1,184.84,302.736,2,58,775,34200,1
206.7778,91.2,0.321,35440.9,169.1,9.01,9.155,8.935,8.965,7.96,354854,1,175.8,241.52,4,52,641,19000,1
35.714,62.94,0.353,38962.77,158.1,8.89,9.07,8.82,8.955,9.4,440617,0,122.28,204.912,1,41,578,61400,1
112.9378,91.2,0.386,38773.9,141.1,8.615,8.825,8.73,8.765,6.96,469624,1,147.92,304.768,2,56,630,59600,1
22.7828,63.1,0.49,30952.46,162.0,8.65,8.73,8.635,8.79,7.68,415584,0,187.24,243.696,1,38,530,46200,0
21.9488,66.92,0.501,32446.755,134.9,8.305,8.36,8.19,8.39,8.16,474433,0,150.0,303.2,4,39,454,40000,1
32.5952,71.28,0.462,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,1,118.16,283.264,4,39,535,40800,1
23.500999999999998,66.92,0.501,33141.13,103.7,7.925,8.17,7.98,8.23,7.16,498052,1,163.68,203.872,1,21,484,48400,0
218.497,91.2,0.26,34724.305,170.1,8.745,8.995,8.885,8.98,7.96,397006,1,195.04,222.016,4,37,650,25200,0
20.3002,57.42,0.599,44012.265,98.3,6.925,7.08,7.015,7.21,9.28,564706,1,174.0,268.0,3,20,489,100000,1
136.423,91.2,0.287,36179.715,163.4,8.47,8.695,8.58,8.65,6.96,474433,1,176.08,303.232,4,30,752,40400,1
256.246,91.2,0.282,37907.32,150.0,8.975,9.105,8.96,9.375,7.96,362317,0,119.36,261.344,4,26,633,16800,0
207.8126,91.2,0.26,31257.985,167.4,9.065,9.14,8.995,9.165,6.96,334563,1,169.12,302.048,4,50,731,25600,1
21.0118,63.98,0.551,35490.895,121.5,7.515,7.645,7.505,7.775,7.3,454277,0,133.56,283.824,3,23,422,47800,1
48.5004,94.16,0.129,36163.05,173.5,9.08,9.155,9.01,9.22,9.06,475753,1,143.32,243.72799999999998,3,36,765,46600,0
116.2426,91.2,0.287,37224.055,163.5,8.55,8.81,8.685,8.76,7.96,401242,1,188.56,242.62400000000002,1,29,609,32800,0
538.812,91.2,0.321,29463.72,162.6,9.135,9.305,9.095,9.165,6.96,302776,1,172.16,301.664,2,60,589,20800,1
42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,0,197.08,242.032,3,34,586,25400,1
20.2622,57.44,0.597,40268.195,95.4,5.55,5.795,5.605,5.655,8.42,512329,1,150.16,265.664,1,50,480,70800,1
20.1812,60.94,0.6,39373.84,94.3,6.28,6.5,6.18,6.425,7.94,489220,1,156.88,245.15200000000002,2,30,424,64400,1
21.3176,59.92,0.512,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,1,169.92,286.368,2,60,466,79600,1
23.4342,65.26,0.547,33141.13,166.9,6.58,6.665,6.46,6.655,7.06,430178,0,124.4,302.56,1,48,387,32000,0
20.5458,69.14,0.531,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,0,147.88,2022.4,4,38,458,69400,1
308.416,91.2,0.26,35890.855,166.8,8.84,9.09,8.945,9.125,6.96,404986,1,121.84,201.53599999999997,1,57,702,19200,1
21.131999999999998,61.82,0.511,38923.885,159.8,8.25,8.455,8.28,8.175,8.44,509357,0,139.44,203.77599999999998,1,28,456,47200,0
32.7592,71.28,0.462,33863.28,158.0,7.7,7.9,7.76,7.71,7.8,495311,0,139.28,262.91200000000003,4,49,599,36400,1
24.3438,76.18,0.511,32257.885,127.3,8.17,8.21,8.1,8.215,8.28,414813,1,136.96,263.584,1,20,527,44800,1
28.1542,67.4,0.493,34241.02,164.8,8.345,8.48,8.42,8.66,8.52,369907,1,114.68,283.472,4,37,574,43400,1
28.7142,76.18,0.511,29685.92,173.5,8.025,8.07,7.93,8.225,7.28,367698,0,158.0,263.2,4,60,562,40000,1
20.7102,64.72,0.574,34257.685,120.2,7.24,7.41,7.165,7.385,7.2,485743,1,151.16,203.66400000000002,3,34,405,45800,0
30.81,62.94,0.425,41495.85,126.1,8.415,8.69,8.51,8.645,9.4,558567,0,181.4,306.96,3,43,504,87000,0
24.4424,75.02,0.45299999999999996,33841.06,168.9,8.705,8.875,8.725,8.6,8.44,405200,1,201.48,202.99200000000002,1,59,604,37400,1
21.1288,67.82,0.5529999999999999,37540.69,106.4,7.9,8.01,7.81,8.12,8.48,510207,0,212.96,245.18400000000003,1,30,426,64800,0
23.5566,74.38,0.415,30935.795,147.0,8.77,8.805,8.755,8.87,7.16,414921,0,197.0,282.8,3,47,635,35000,0
27.747,106.3,0.419,31180.215,169.1,9.035,9.24,9.1,9.115,8.18,303828,0,154.28,202.512,3,42,635,31400,1
179.8496,91.2,0.3,30663.6,173.5,9.145,9.335,9.14,9.31,7.96,339764,0,134.92,301.968,3,41,702,24600,1
49.2672,94.16,0.395,41601.395,164.3,8.915,9.055,8.935,9.155,8.06,539697,1,210.0,228.0,4,35,539,100000,1
23.3804,106.3,0.419,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,1,162.56,283.42400000000004,3,22,608,42800,1
236.68400000000003,91.2,0.321,37674.01,164.3,9.05,9.23,8.98,9.1,7.96,335532,1,157.39149797570857,201.2,1,35,647,15000,0
23.4008,70.74,0.47600000000000003,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,1,189.56,283.024,1,45,508,37800,1
20.9638,62.28,0.608,33929.94,105.5,5.305,5.495,5.345,5.42,7.72,528690,0,130.76,243.50400000000002,1,56,370,43800,1
20.7074,67.18,0.5670000000000001,36607.45,113.9,7.185,7.4,7.25,7.175,8.78,456975,1,198.8,243.52,1,21,372,44000,0
