,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,99,3,1.0,1,383,0,1,1,0
1,29,4,1.9,3,146,0,1,0,0
2,56,1,1.4,3,0,0,1,0,0
3,54,1,2.0,3,35,0,1,0,0
4,48,4,0.1,3,54,0,1,0,1
5,56,4,0.4,2,0,0,1,0,0
6,69,3,1.8,2,80,0,1,1,0
7,56,3,1.9,2,144,0,1,0,0
8,120,1,0.0,1,67,0,1,0,0
9,85,4,0.7,2,131,0,1,0,0
10,47,2,1.0,3,164,0,1,1,0
11,63,4,1.2,2,104,0,1,1,0
12,121,1,1.5,1,0,0,1,0,0
13,56,3,2.2,2,103,0,1,0,0
14,62,2,2.2,3,64,0,1,1,0
15,148,1,1.0,1,36,0,1,0,0
16,59,3,3.0,2,0,0,1,0,0
17,63,4,1.6,2,87,0,1,0,0
18,88,2,1.8,2,319,0,1,0,1
19,42,4,1.3,3,27,1,1,0,0
20,149,1,6.1,1,0,0,1,0,0
21,54,4,1.7,2,117,0,1,1,0
22,125,1,7.3,1,17,0,1,0,0
23,112,4,2.1,3,98,0,1,0,1
24,61,3,0.5,3,100,0,1,1,0
25,144,2,2.8,1,0,0,1,1,1
26,153,1,2.2,1,455,0,1,0,0
