,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,108.0,3,1.0,1,383.0,0,1.0,1,0
1,29.0,4,1.5,3,146.0,0,1.0,0,0
2,48.0,4,0.1,3,0.0,0,1.0,0,1
3,85.0,4,0.1,2,131.0,0,1.0,0,0
4,63.0,4,1.2,2,0.0,0,1.0,1,0
5,62.0,2,2.2,3,0.0,0,1.0,1,0
6,148.0,1,1.0,1,0.0,0,1.0,0,0
7,63.0,4,1.6,2,0.0,0,1.0,0,0
8,42.0,4,1.3,3,0.0,1,1.0,0,0
9,149.0,1,6.0,1,0.0,0,1.0,0,0
10,125.0,1,7.3,1,0.0,0,1.0,0,0
11,115.22,4,2.1,3,0.0,0,0.0,0,1
12,61.0,3,0.5,3,0.0,0,1.0,1,0
13,211.06,2,2.8,1,0.0,0,0.0,1,1
14,153.0,1,1.3,1,455.0,0,1.0,0,0
