,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,56.0,4,1.0,1,0.0,0,0.0,0,1
1,118.0,3,2.0,1,383.0,0,0.0,1,0
2,43.0,4,1.0,3,146.0,0,0.0,0,0
3,82.0,4,2.0,2,0.0,1,0.0,0,1
4,51.0,1,1.0,3,41.0,0,0.0,1,0
5,62.0,1,1.0,1,41.0,1,0.0,1,0
6,46.0,2,1.0,2,0.0,0,0.0,1,1
7,54.0,4,1.0,3,0.0,0,0.0,0,1
8,69.0,3,1.0,2,122.0,0,0.0,1,0
9,55.0,3,1.0,2,144.0,0,0.0,0,0
10,87.0,2,0.2,3,91.0,0,1.0,1,1
11,50.0,2,1.0,3,164.0,0,0.0,1,0
12,66.0,4,1.0,2,0.0,0,0.0,1,0
13,17.0,3,0.0,1,31.0,0,0.0,0,0
14,48.0,3,1.0,1,0.0,0,0.0,0,0
15,130.0,1,3.0,1,0.0,0,0.0,1,0
16,104.0,2,2.0,1,0.0,0,0.0,1,0
17,39.0,3,1.0,2,42.0,0,0.0,1,0
18,71.0,3,1.0,2,61.0,0,0.0,1,0
19,79.0,2,2.0,3,62.0,0,0.0,1,0
20,50.0,2,1.0,1,0.0,0,0.0,0,0
21,93.0,3,2.0,1,126.0,0,0.0,1,1
22,59.0,1,1.0,2,40.0,1,0.0,0,0
23,63.0,4,1.0,2,30.0,0,0.0,0,0
24,106.0,2,2.0,2,319.0,0,0.0,1,1
25,46.0,4,1.0,3,0.0,1,0.0,0,0
26,46.0,4,1.0,1,77.0,0,0.0,0,1
27,53.0,4,1.0,1,54.0,0,0.0,1,0
28,188.0,1,6.0,1,0.0,0,0.0,0,0
29,103.0,2,2.0,1,0.0,0,0.0,1,0
30,49.0,4,1.0,2,54.0,0,0.0,1,0
31,44.0,1,1.0,2,78.0,0,0.0,1,0
32,117.0,4,2.0,3,0.0,0,0.0,0,1
33,20.0,2,0.0,3,26.0,1,0.0,1,0
34,63.0,1,1.0,2,48.0,0,0.0,0,0
35,61.0,3,1.0,3,27.0,0,0.0,1,0
36,55.0,4,1.0,1,141.0,1,0.0,0,0
37,52.0,2,1.0,1,116.0,0,0.0,0,0
38,76.0,3,2.0,1,52.0,0,0.0,0,1
