,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,Online,CreditCard,CDAccount
0,120,3,1.0,1,383,0,1,0,0.0
1,43,4,1.0,3,146,0,0,0,0.0
2,63,4,1.0,2,33,1,0,1,0.0
3,39,1,1.0,3,53,0,1,0,0.0
4,62,1,1.0,1,10,1,1,0,0.0
5,71,1,0.3,3,0,0,1,0,0.0
6,48,4,1.0,3,68,0,0,1,0.0
7,69,3,1.0,2,80,0,1,0,0.0
8,45,3,1.0,2,144,0,0,0,0.0
9,127,1,0.0,1,0,0,1,0,0.0
10,129,4,0.1,2,131,0,0,0,0.0
11,76,2,1.0,3,164,0,1,0,0.0
12,63,4,2.0,2,0,0,1,0,0.0
13,28,3,0.0,1,6,0,0,0,0.0
14,155,1,1.5,1,0,0,1,0,0.0
15,110,2,2.8,1,0,0,1,0,0.0
16,80,3,1.0,2,0,0,1,0,0.0
17,72,2,2.2,3,0,0,1,0,0.0
18,200,1,1.0,1,0,0,0,0,0.0
19,38,2,1.0,1,64,0,0,0,0.0
20,93,3,2.0,1,126,0,1,1,0.0
21,59,3,4.0,2,0,0,1,0,0.0
22,63,4,1.0,2,14,0,0,0,0.0
23,88,2,2.0,2,319,0,1,1,0.0
24,42,4,1.0,3,63,1,0,0,0.0
25,32,4,0.0,1,153,0,0,1,0.0
26,117,2,2.0,1,0,0,1,0,0.0
27,67,4,1.7,2,0,0,1,0,0.0
28,47,1,1.0,2,78,0,1,0,0.0
29,14,2,0.0,3,50,1,1,0,0.0
30,42,1,1.0,2,84,0,0,0,0.0
31,102,3,0.5,3,0,0,1,0,0.0
32,74,4,1.0,1,141,1,0,0,0.0
33,189,1,1.3,1,455,0,0,0,0.0
