,age,Experience,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
0,52,15,140,2,7.737670930266715,2,32,1,1,1,0,1
1,51,0,150,3,5.073039314936788,1,328,1,1,0,1,1
2,32,18,144,3,6.295616858285646,3,59,0,1,0,1,1
3,51,20,159,1,5.4953904133799,3,275,0,1,1,0,1
4,38,17,154,2,3.2258555350514273,3,189,1,1,1,1,1
5,43,35,204,4,6.517039368742851,2,22,0,1,0,1,1
6,50,14,125,2,3.8834087976451914,3,413,0,1,0,1,1
7,44,36,137,3,3.87300102235855,2,82,0,1,0,0,1
8,63,11,150,1,4.768432812791219,2,238,0,1,0,1,1
9,50,2,152,2,4.444689544959457,2,164,0,1,0,0,1
10,58,0,130,4,4.828429539444763,2,231,0,1,0,0,1
11,52,4,176,1,5.727739182143568,2,334,0,1,0,1,1
12,54,4,145,2,6.308156539244768,2,361,0,1,0,0,1
13,23,28,177,4,4.316533256544632,3,100,0,1,1,0,1
14,50,14,126,1,4.870977110398187,2,136,0,1,0,1,1
15,44,38,162,2,6.774868554139491,3,64,1,1,0,0,1
16,37,19,145,4,6.464643183048212,2,33,0,1,1,1,1
17,34,27,144,3,2.9926208006554176,3,53,0,1,1,0,1
18,43,22,200,4,5.151140877816199,2,171,0,1,0,0,1
19,21,11,153,2,4.012389405864111,2,35,1,1,1,1,1
20,45,12,166,3,3.156477612098721,3,47,0,1,1,0,1
21,37,18,131,3,3.7137380694709137,2,121,0,1,1,1,1
22,58,4,131,2,3.4714692604475097,2,304,0,1,1,0,1
23,21,7,171,3,6.218334209271278,2,96,0,1,1,1,1
24,48,34,132,2,3.239039959825299,2,258,0,1,0,0,1
25,54,14,128,3,6.032530911759174,2,59,0,1,1,1,1
26,49,32,143,1,7.482975545940199,2,410,0,1,1,0,1
27,40,26,165,4,2.246885959942843,2,369,1,1,1,0,1
28,55,36,124,2,5.88429450944426,3,196,1,1,0,0,1
29,53,18,143,4,4.548972929014351,2,174,0,1,0,1,1
30,62,21,158,4,3.4035534460696812,2,76,0,1,0,0,1
31,36,16,201,2,3.8781404073122454,2,127,1,1,1,1,1
32,30,19,151,3,3.5805035942660783,2,25,0,1,0,0,1
33,54,36,130,3,5.982943139178013,2,166,0,1,0,1,1
34,37,35,159,2,3.8274571788752816,3,80,0,1,0,0,1
35,45,28,147,3,6.064371449930963,2,23,0,1,0,0,1
36,30,31,151,3,3.0009296507257757,2,65,0,1,1,1,1
37,39,26,136,3,5.600934860288989,2,176,0,1,1,0,1
38,58,19,146,1,9.223447450032515,3,92,0,1,1,0,1
39,49,25,162,4,6.542198416604052,3,429,1,0,1,0,1
40,64,16,124,4,4.846656675281536,2,241,0,1,0,0,1
41,34,7,158,2,5.464874368252143,2,19,0,1,1,0,1
42,27,30,178,2,7.305783715386589,3,182,1,1,1,0,1
43,61,34,131,1,4.017694020872259,2,9,0,1,1,1,1
44,36,26,126,1,3.8208112775353533,3,197,0,1,1,0,1
45,44,16,141,4,4.93078050453153,2,38,0,1,0,0,1
46,38,34,131,2,8.37298325654346,3,538,0,1,1,0,1
47,49,32,143,4,8.76706974499103,2,96,0,1,0,0,1
48,66,14,129,2,3.6118744367407305,2,251,0,1,0,1,1
49,36,17,148,3,3.1970480984503054,3,224,0,1,1,0,1
